Artist,Title,Add. Title,Image Link,Personal Name,Provenance,5901,Date,Size and Material,Sources
Vermeer Johannes 1632-1675 attributed to,Disasterous Landscape,,no image available,Vermeer Johannes 1632-1675,Collection of W. Burger,,,28 x 38 cm,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 573 (66)"
Unknown Artist,Dutch Room,,Contact photoarchive@frick.org for more information.,Vermeer Johannes 1632-1675,"Kaiser Freidrich Museum, Berlin (?)",,,,"Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1913, ill. opposite p. 40"
Vermeer Johannes 1632-1675 attributed to,Entrance to the Woods,,no image available,Vermeer Johannes 1632-1675,Museum of Bale,,,15 x 12 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 573 (67)"
Vermeer Johannes 1632-1675 attributed to,Entrance to the Woods,,no image available,Vermeer Johannes 1632-1675,"Gallery of Count Czernin, Vienna",,,22 x 18 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. pp. 571-72 (61)"
Hooch Pieter de 1629-1684,Family in the Courtyard of a House,,"http://www.akademiegalerie.at/de/Sammlung/Bildinformation/?image_name=77&active_image=20&GALLERY_ORDER=11,110,92,102,37,63,13,113,56,68,70,60,93,16,89,23,79,64,28,20,77,6,74,87,98,12,42,59,49,4,33,10,26,46,84,15,100,91,78,88,83,47,94,104,22,31,107,96,44,35,108,43,19,40,66,36,53,9,24,82,55,30,67,97,14,32,95,85,7,106,111,112,90,86,65,51,21,99,17,27,80,2,18,61,81,50,103,75,45,58,105,73,39,1,38,57,54,5,101,71,3,52,34,72,76,109,69,48,41,25,29,62,8&mode=28&ART_Name=0&&ARTIST_Name=&GENRE_Name=&opener=http://www.akademiegalerie.at/de/Sammlung/Virtuelle%20Galerie/&final=",Hooch Pieter de 1629-1684; Vermeer Johannes 1632-1675,Collection of the l'Academie des Beaux-Arts in Vienna,,,45 1/2 x 38 1/2 in; oil on canvas,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. pp. 550-51 (13); Harvard, Henry. Van der Meer de Delft. 1888. p. 36 (14); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 565-66 (321), 606; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 363; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 216"
"Renesse, Constantijn van 1626-1680",Family Group ,A Painter's Studio,https://www.pubhist.com/w15636,"Renesse, Constantijn van 1626-1680; Vermeer Johannes 1632-1675","May be a family portrait listed in the estate of Constantijn Jacob Renesse, 1781 (which, however, indicated a group of seven figures, whereas there are only five in the present group, unless two other faces are completely hidden in the darkened background); first mentioned as in the Czernin Gallery in 1821; Gallery of Count Czernin, Vienna",,c. 1651,52 x 44 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 546 (4); Havard, Henry. Van der Meer de Delft. 1888. p. 35 (4); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 606; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, pp. 342-43, 363; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 216"
"Martsen, Jacob 1580-after 1630 attributed to","Family Portrait Right ""Let the children come to me""",,https://rkd.nl/en/explore/images/record?query=Jacob+Martsen&start=2,Martsen Jacob 1580-after 1630; Vermeer Johannes 1632-1675,"Joosstens private collection, The Hague sold by them as Johannes Vermeer 'for an English museum 1910 - gesignaleeld; GMF Joosstens private collection, The Hague as J. Mijtens sold 1969-11 1969' Private collection MGLTh. Joosstens as Jan Mijtens 1969; Private collection Netherlands 2007-09 - identified",,c. 1620,75 x 103 cm; oil on canvas,https://rkd.nl/explore/images/116082
Vermeer Johannes 1632-1675 attributed to,The Field,,no image available,Vermeer Johannes 1632-1675,"Collection of M. Brentano, Francfort-sur-Mein",,,18 x 36 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 573 (68)"
"Anonymous Dutch School, 17th century",Figure Studies,,https://rkd.nl/en/explore/images/record?filters%5Bobjectcategorie%5D%5B0%5D=drawing&query=johannes+vermeer&start=4,"Anonymous Dutch School, 17th century; Vermeer Johannes 1632-1676","Private collection Johan Quirijn of Regteren Altena, Amsterdam 1980; Private collection Heirs Johan Quirijn of Regteren Altena, The Netherlands 1980 - 2015",,18th century,291 x 188 mm; paper and pen,https://rkd.nl/explore/images/267392
Deuren  Olivier van  1666-1714.,The Geographer,The Astronomer,https://rkd.nl/en/explore/images/record?query=Olivier+van+Deuren&start=2,"Deuren Olivier van, 1666-1714; Vermeer Johannes 1632-1675","Collection of Lord....; Sale, Paris, MM. Péreire Collection, March 6, 1872, lot 133 (4,000 francs); Sale, Antwerp, Edouard Kums Collection, May 17-18, 1898, lot 114 (8,500 francs); Vicomte du Bus de Gisignies, Brussels; inherited by his son-in-law, Comte de Renesse; from whom acquired jointly by René Gimpel, Paris, and Edouard Jonas, Paris and New York, by 1929; sold by Mr. Jonas in January 1936 to E. John Magnin, New York (d.1944); his gift to the Fine Arts Museums of San Francisco, San Francisco, California (75.18.15).",,1665,19 x 14 1/2 in.;48.5 x 37 cm.; oil on panel.,"Thore-Burger, Theophile J. Burger (William Burger), ""Van der Meer de Delft,"" in Gazette des Beaux-Arts 21 (October-December 1866) p. 560 (35); Harvard, Henry. Van der Meer de Delft. 1888. p. 38 (38); Groot, Hofstede de., A Catalogue Raisonee of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol 1. 1907. ""Johannes Vermeer."" p. 583-84 (4); Hale, Philip. Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1913. p. 334-37; Hale, Philip. Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1937. pp. 125-30 (19)  Larsen, Erik. Jan Vermeer. Florence, 1996, p.124 (A17)"
Unknown Immitator of Vermeer,Girl in a Blue Dress and Yellow Cloak,,http://www.essentialvermeer.com/fakes_thefts_school_of_delft_lost_sp/erroneously_attributed_vermeers_one.html#.XQeigYhKh3h,Unknown Artist; Vermeer Johannes 1632-1675,Paul Cassirer (Berlin) sold to Thyssen-Bornemisza,,,,http://www.essentialvermeer.com/fakes_thefts_school_of_delft_lost_sp/erroneously_attributed_vermeers_one.html#.V5DnrOswjcs
Vermeer  Johannes  1632-1675  copy of,"A Girl Reading a Letter, copy of",,Contact photoarchive@frick.org for more information.,Hooch Pieter de 1629-1684; Vermeer  Johannes  1632-1675,"Vincent L. Bradford, Philadelphia ; included in the collection of paintings he gave to Washington and Lee University  Lexington  Virginia (as Pieter de Hooge).",Washington and Lee University  Lexington  Virginia  United States  31  public.,,24 x 18 in.;oil on canvas,"""Catalogue of Oil Paintings bequeathed by Vuincent L. Bradford…to Washington and Lee University,"" Lexington, Virginia, n.d. (31)"
Vermeer Johannes 1632-1675 attributed to,Girl Pouring Wine,,"Image can be found in The Burlington Magazine for Connoisseurs, Volume 15, page 247- https://books.google.com/books?id=3sw-AQAAMAAJ&pg=PR7&lpg=PR7&dq=sackville+gallery+girl+pouring+wine&source=bl&ots=Et7ZRbF9oj&sig=ACfU3U33TcWAm5DQ2dVLtxB5-geQVvtHcA&hl=en&sa=X&ved=2ahUKEwieg_6EmefiAhUPmeAKHaCTDp0Q6AEwBnoECAkQAQ#v=onepage&q=sackville%20gallery%20girl%20pouring%20wine&f=false",Vermeer Johannes 1632-1675,"Sackville Gallery, London",,,,"Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1937, p. 220"
Burch  Hendrick van der  1627-approximately 1666,A Graduation Ceremony at the University of Leyden about 1650,,https://upload.wikimedia.org/wikipedia/commons/2/2a/A_graduation_ceremony_at_Leiden_University_about_1650%2C_by_Hendrick_van_der_Burgh.jpg,Burch  Hendrick van der  1627-approximately 1666.;Vermeer  Johannes  1632-1675; Oever  Hendrik ten  active 1659,H. Verdonck Sale  Rotterdam  September 30  1811 (as J. ten Oever); P. van Romondt Sale  Amsterdam  May 11  1835  lot 13 (as Jan Vermeer of Delf) ; J.H. Langeveld  Voorhout ;bought from him  1915  for the Rijksmuseum  Amsterdam (660: B2).,Rijksmuseum  Amsterdam  Netherlands  660: B2  public.,c. 1650,28 1/4 x 23 1/4 in.;oil on canvas,"Groot, Hofstede de., A Catalogue Raisonee of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol 1. 1907. ""Johannes Vermeer."" p. 604 (52); Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1937, p. 221; Amsterdam  Rijksmuseum. Catalogue of Paintings [cat.]. 1960  p.64 (660 B2)"
Steen Jan 1685-1750,The Harpsichord Lesson,,https://rkd.nl/en/explore/images/record?query=The+Harpsichord+Lesson&start=0,Steen Jan 1685-1750; Vermeer Johannes 1632-1675,"Sale Randon de Boisset, Paris, February 27, 1777, cat. no. 129 (1200 francs); Duc de Praslin, Paris, February 18, 1793 (1310 francs); B. de Bosch, Amsterdam, March 10, 1817, cat. no. 19; General Phipps, London, 1859 (225 pounds: 15 sterling, Mawson); Collection of Sir Richard Wallace,Marquess of Hertford; Wallace Collection, London, 1901 catalogue, cat. no. 154.",,,14 1/2 x 19 in; oil on panel,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 551 (15); Harvard, Henry. Van der Meer de Delft. 1888. p. 36 (16); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 107 (412), 606; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 363-64; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 216"
Vermeer  Johannes  1632-1675  manner of  attributed to,Head of a Girl,,https://digitalcollections.frick.org/digico/#/,Vermeer  Johannes  1632-1675,"Edward Hutton, dealer, London, 1931 (name not used on mount); presumably now in a Swedish Collection, but still for sale, January 1957.",unlocated.,,19 1/2 x 15 1/2 in.; oil on canvas,"Information with photograph lent from the Boston Museum of Arts, 1931; FRESCO Frick Research Catalog Online, ""Johannes Vermeer,"" Website"
Jongh Ludolf de 1616-1679 attributed to,The Huntsman's Rest,,no image available,Jongh Ludolf de 1616-1679; Vermeer Johannes 1632-1675,"Musee du Louvre, Paris (?)",,,,"Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1937, p. 213"
"Vrel, Jacobus, 1654-1670",An Interior of a Beguine Convent,,no image available,Vrel Jacobus 1654-1670; Vermeer Johannes 1632-1675,Collection of W. Burger,,,,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 569 (53)Harvard, Henry. Van der Meer de Delft. 1888. p. 39 (54); Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 365; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 218"
Vermeer Johannes 1632-1675 attributed to,An Interior of a Beguine Convent,,no image available,Vermeer Johannes 1632-1675,"Sale  Reydon, Amsterdam, 1827; Collection of W. Burger",,,36 x 29 cm,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 569 (52); Harvard, Henry. Van der Meer de Delft. 1888. p. 39 (53)"
"Thomas, Gerard 1663-1720 manner/circle of","Interior with a Man feeling the Pulse of a Woman, a Dentist beyond",,Contact photoarchive@frick.org for more information.,"Thomas, Gerard 1663-1720 manner/circle of; Vermeer Johannes 1632-1675","Private collection Benjamin C. Smith, Paisley (Scotland)",,18th century,50.8 x 76.2 cm; oil on canvas,https://rkd.nl/explore/images/266747
"Vrel, Jacobus, 1654-1670",An Interior of a Town,,https://www.philamuseum.org/collections/permanent/102333.html?mulR=1849596643|1,Vermeer Johannes 1632-1675,"Owned, some years before 1866, by the sone of the dealer and art critic John Smith, London; Count C… (Cornet de Ways Ruart fils) Sale, Brussels, April 22, 1868 (as Vermeer) (Sedelmeyer, 1000 francs); Tabourier Sale, Paris, June 18, 1898 (as Vermeer) (sold for 3650 francs); Boreel sale, Amsterdam, July-August-September 1907 (as signed work by J. Vrel); Hoogendyk and other Collections Sale, Muller's Amsterdam, April 28-29, 1908 (called ""La Ruelle""); bought at this sale by John G. Johnson, (on the recommendation of Roger Fry); Johnson Art Collection, Philadelphia",,,19 1/4 x 16 1/2 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 570 (57); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 565 (319)"
"Vrel, Jacobus, 1654-1670",An Interior of a Town,,https://en.wikipedia.org/wiki/Jacob_Vrel#/media/File:Vrel1.jpg,Vermeer Johannes 1632-1675,"Estate of M. de Gruyter, Amsterdam; Christoph Raaben Ruhl, Cologne, 1876 (as Jan Vermeer of Delft); Ruhl Collection Sale, Cologne, May 15-18, 1876 (as Jan Vermeer of Delft); later collections not known; a lost picture; Dr. Hans Wetzlar, Amsterdam; The late Dr. Hans Wetzlar Collection Sale, Sotheby Mak van Waay B.V., Amsterdam, Juine 9, 1977 (sold for 450,000 florins)",,,14 x 11 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. pp. 570-71 (58); Harvard, Henry. Van der Meer de Delft. 1888. p. 36 (58)"
"Meegeren Han van, 1889-1947",Jesus Teaching in the Temple,,https://upload.wikimedia.org/wikipedia/commons/0/04/Jesus_unter_den_Schriftgelehrten_von_Han_van_Meegeren.jpg,"Meegeren Han van, 1889-1947; Vermeer Johannes 1632-1675",Possibly owned by the government of the Netherlands.,,1945,Oil on canvas,"""Illustrated London News,"" November 3, 1945, p. 500-501"
Vermeer  Johannes  1632-1675  20th century imitator of,The Lacemaker,La Dentellière,https://www.nga.gov/collection/art-object-page.61.html,Vermeer  Johannes  1632-1675,(f) Captain Harold R. Wright  London and Bremen  Germany  in 1927 ;(f) sold to Duveen Brothers  New York ;(f) sold by them to Andrew W. Mellon in 1927 ;(g) included in the collection that he presented to the nation as the U.S. National Gallery of Art  Washington D.C. in 1937 (1937.1.54).,National Gallery of Art  Washington  District of Columbia  United States  Andrew W. Mellon Collection  1937.1.54  public.,c. 1925,17 1/2 x 15 3/4 in.;44.5 x 40 cm.;oil on canvas,"Hale, Philip. Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1937. pp. 135-36 (24); Vries, A.D. de Jan Vermeer de Delft. 1939. pp. 89-90 (31); Vries, A.D. de Jan Vermeer de Delft. 1948. pp. XXII-XXIII (38)"
Vermeer  Johannes  1632-1675  manner of,A Lady in a Blue Hat,,,Vermeer  Johannes  1632-1675.,"Sale Frederik Muller et cie.  Amsterdam  1890-1900 (as School of Rembrandt); Paul Cassirer  Berlin; sold by him to Baron Heinrich Thyssen-Bornemiza; his daughter Countess Marget Batthyany; Castle Rohoncz Collection Castagnola, Switzerland until the mid 1950s; Municipality of Lugano.",Municipality of Lugano  Lugano  Switzerland  public.,,9 3/8 x 8 1/8 in.;23.5 x 21.3 cm.;oil on canvas,"Vries, A.D. de Jan Vermeer de Delft. 1939. p. 89 (30); Vries, A.D. de Jan Vermeer de Delft. 1948. p. XXII (37); Goldscheider, Ludwig. Jan Vermeer  the Paintings: with Introduction  Catalogue List of Attributions. London  1958  p. IX.; Larsen  Eric. Jan Vermeer. Florence  1996  p.122 (A12)"
"Meegeren Han van, 1889-1947",Lady and Gentleman at the Harpsichord,Lady and Gentleman Talking,http://www.essentialvermeer.com/fakes_thefts_school_of_delft_lost_sp/erroneously_attributed_vermeers_two.html#.XQFFzb57ncs,"Meegeren Han van, 1889-1947; Vermeer Johannes 1632-1675","Private collection Hongarije 1932 -; art dealer J. Tersteeg, The Hague; art dealer D. Katz, Dieren (Rheden) 1932 -; private collection Fritz Mannheimer, Amsterdam; Stichting Nederlands Kunstbezit, Netherlands , inv./cat.nr NK 3255 1946 - ca. 1946; Dienst voor 's Rijks Verspreide Kunstvoorwerpen, The Hague , inv./cat.nr NK 3255 verblijfplaats onbekend, niet meer in cat. Instituut Collectie Nederland (1992)",,1932,24 3/4 x 20 in.; oil on canvas,"Vries, A.D. de Jan Vermeer de Delft. 1948. p. XXIV (41); A. Bredius, An Unpublished Vermeer, in: B.M., LXI, 1932, p. 145; Blankert, Albert. ""The Case of Han van Meegeren's Fake Vermeer Supper at Emmaus Reconsidered"" in In his Milieu: Essays on Netherlandish Art in Memory of John Michael Montias. Eds. A. Golahny, et al. Amsterdam: 2006, pp.47-57.; RKD, ""Interior with man and woman at the harpsichord, ca. 1934-1938,"" Website"
Vermeer  Johannes  1632-1675  copy of,Lady with a Guitar,,https://www.philamuseum.org/collections/permanent/102282.html?mulR=2013828767|5,Vermeer  Johannes  1632-1675,(i) Henry Bischoffsheim  London ;(i) Gooden  London  in 1896 ;(i) John G. Johnson  Philadelphia  Pennsylvania ;(i) Johnson Art Collection  Philadelphia ;(i) John G. Johnson Collection  Philadelphia Museum of Art (497).,John G. Johnson Collection  Philadelphia Museum of Art  Philadelphia  Pennsylvania  United States  497  public.,,20 1/4 x 17 in.;oil on canvas,"Groot, Hofstede de., A Catalogue Raisonee of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol 1. 1907. ""Johannes Vermeer."" pp. 593-94 (26); Hale, Philip. Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1911/13. pp. 267-70; Hale, Philip. Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings. 1937. pp. 144-46 (29)"
"Vermeer van Haarlem, Jan, II, 1628-1691",Landscape with Cows,,http://collection.nationalmuseum.se/eMP/eMuseumPlus?service=direct/1/ResultListView/result.t1.collection_list.$TspTitleImageLink.link&sp=10&sp=Scollection&sp=SfieldValue&sp=0&sp=0&sp=3&sp=SdetailList&sp=0&sp=Sdetail&sp=0&sp=F&sp=T&sp=2,"Vermeer van Haarlem, Jan, II, 1628-1691; Vermeer Johannes 1632-1675","Nationalmuseum, Stockholm, inv./cat.nr NM 509",,1671-1705,23.6 x 28.9 cm; oil on panel,https://rkd.nl/explore/images/252771
Vermeer Johannes 1632-1675 attributed to,Landscape with Dunes,,no image available,Vermeer Johannes 1632-1675,"Collection of M. Blokhuyzen, Rotterdam",,,,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 573 (70)"
Vermeer Johannes 1632-1675 attributed to,"Landscape, in the genre of Ruisdael",,no image available,Vermeer Johannes 1632-1675,"Estate of M. Gzell, Vienna",,1660-1670 (?) ,,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. pp. 573-74 (71)"
Unknown Artist,The Lesson,,Contact photoarchive@frick.org for more information.,Vermeer Johannes 1632-1675,"National Gallery, London (?)",,,,"Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1913, ill. opposite p. 66"
Laan Dirk Jan van der 1759-1829,The Little Street,,http://www.essentialvermeer.com/fakes_thefts_school_of_delft_lost_sp/erroneously_attributed_vermeers_one.html#.XQFRvr57nct,Laan Dirk Jan van der 1759-1829; Vermeer Johannes 1632-1675,,,1792,,http://www.essentialvermeer.com/fakes_thefts_school_of_delft_lost_sp/erroneously_attributed_vermeers_one.html#.V5DnrOswjcs
Vermeer Johannes 1632-1675 attributed to,Lot and His Daughters,,no image available,Vermeer Johannes 1632-1675,"Hertz Collection, Hamburg",,,,"Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1937, p. 213"
