Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text,
438,532,Gemeentearchief Amsterdam,"NA 2731, film  2833, fol. 1623-1629, and NA 2733, film 2834, fol. 473-479.",Notarial,1666/11/24,Doeck,Amsterdam,586,Nederland,2600 |a gulden,4736 |d  gulden,1613 |d 1664/05/09  |n Doeck,1637/11/28,K,and his wife Cornelia Rocholst,"Doeck, Cornelis",J.H. Leuven,Retail merchant |a Art dealer; Artist |a Painter,death inventory,,Amsterdam,"On 28 November 1637, Cornelis Willemsz., painter, from Amsterdam, living on the N.Z. Achterburchwal, was betrothed to Cornelia Rochols, 20, from Amsterdam, living in the Langestraet, assisted by her mother Cornelia Rocholt (DTB 447/53). On 15 January 1640, Cornelis Doeck and Cornelia Doecx had their daughter baptized in the N.K. in the presence of Trijntje Rochols (DTB 42/175). On 17 November 1644, they had their son Willem baptized in the O.K. in the presence of Dirck Bisschop and Cornelis Rochelt (DTB 8/33). On 10 March 1647, they had their daughter Emmeren baptized in the O.K. in the presence of Eljens Melchiors and Dirck Bisschop (DTB 8/120). On 13 September 1652, Johannes Croon, painter (cited in the NOTES to R 29100 of Montias2), made a deposition at the request of the art dealer Cornelis Doeck (Bredius, Künstler-inventare p.846).  In 1639, Cornelis Doeck was called formerly painter (eertijds schilder). By the time he died he had evidently became an art dealer (Bredius, De kunsthandel te Amsterdam in de xviie eeuw, Amsterdamsch Jaarboekje, 1891, p. 56). On 8 May 1664, Cornelis Doeck, painter, 51,  made a deposition at the request of the wife of Admiral de Ruyter. He was buried in the South Church in Amsterdam on 26 May 1664 (Bredius, Künster-inventare, p. 111).","Inventaris vande naegelaten en metter doot ontruijmde goederen va zal. Kornelis Doeck in syn leven schilder ende Kornelia Rochels, echteluijden, gedaen beschreven opt aengeven van Joannes Loermans, als getrout sijnde met Kornelia Doeck, mitsgaders Baefje Doeck, huysvrou van Engelbrecht Nolpe, door my J.H. Leuven, openb. Not. binnen Amsterdam. Postscript: De inventariente verclaert alles oprechtelijck [gestellt] te hebben, den 26 november 1666. Amplification of 24 December 1666 (fol. 473-487): Vervolgh van den inventaris van de naervolgende goederen van za. Cornelis Doeck ende Cornelia Rochels waervan de jmboel, huysraet, silverwerck ende pottgens den 23, 24, 25, 26, 27 decembris is geinventariseert by my onderges. notaris ... en nu, op heeden Anno 1667, den 13 july, bevonden deese naevolgend goederen.",
439,533,Gemeentearchief Amsterdam,"1489, film nr. 1569",Notarial,1658/05/22,Leemput,Amsterdam,45,Nederland,,,?  |d 1658/04/30  |n Leemput; 1584 |d ?  |n van Driel,,,widow of Balthazar van Driel,"Leemput, Janneken van",G. Borsselaer,Merchant (largescale),death inventory,Lutheran,Amsterdam,"In 1631, Balthasar van Driel, living on the Nieuwendijck, paid a tax of 30 f. (Kohier fol. 27vo, p.7). On 11 September 1635, the honorable Balthasar van Driel, merchant, as guardian of the children of his brother Jasper van Driel, gave Jasper Burgenhuys, clock caster in Middelburg, a procuration to collect money from the W.I.C. chamber in Middelburg (NA 597, fol. 8, Not. Lamberti). On 21 May 1636, Pieter Noortwijck, 45,  Balthasar van Driel, 52, and David Rutgers, 35 (cited in the NOTES to R 24929 of Montias2), all merchants, declared at the request of Jacob Meniers of Rotterdam that all three were dealers in leische saijen (a type of silk cloth mixed with cotton) (NA 695A, film 4981, Not. J. Warnaerts). Balthasar van Driel left  250 gulden to the Lutheran church in Middelburg. On or about 8 March 1637, he was said to be married to Maria van Driel (NA 1466, film 1556, Not. Borsselaer).","Staet ende inventaris van alle de goederen ende effecten naegelaten ende metter doot ontruijmt bij Janneken van Leemput weduwe van Balthazar van Driel, beschreven bij mij Gillis Borsselaer notaris ... in presentie van de naerbeschreven getuijgen ten versoecke van Sr. Pieter van Driel, als executeur van den testament van Janneken van Leemput, overleden den lesten April xvi C acht ende vijftich, snachts ten elff uren, op't aengeven van den selven Pieter van Driel, sijne huysvrouw ende Trijntje Jans de dienstmeecht, ten huyse van de overledene, ende eerst de meubelen ende huysraet beginnende met den twee en twintichsten meij desselfs jaer 1658. Postscript: Aldus gedaen ende geinventariseert den drie ende twintichsten meij xvi C acht ende vijftich opt aengeven vanden voors. Pieter van Driel bij mij voors. notaris int hooft genoemt.",
440,534,Gemeentearchief Amsterdam,"2467, fol. 85, film nr. 2572",Notarial,1668/05/13,Vermeulen,Amsterdam,30,Nederland,,,,1623/05/06,K,widow of Anthonij Matthijs,"Vermeulen, Claertge",R. Duee,Services |a Broker,unknown,Reformed/Calvinist,Inde Beulinghstraet in Amsterdam,"On 6 May 1623, Anthonis Mattijssoon, leather tanner (huijvetter), 26, assisted by his father Steven Matthijsz., living in the Beulingstraet, was betrothed to Claartie Vermeulen, 19, assisted by her father Francois Vermeulen, living in the Elantstraet (DTB 428/45). Many leather workers and tanners lived in the Elantstraat. Anthonis Mattijsz. apparently became a broker at a later point in his life (as the INTRO indicates). The presence of predicants bortgens, including portraits of Wittwrongel, Junius and Carrentius, suggests that the owner was of the Calvinist persuasion.","Op huijden derthjiende meij anno 1668 Compareerde voor mij Reijnier Duee notaris ... in presentie van de nabeschreven getuijgen, d' eerbare Claertge Vermeulen, weduwe van Anthonij Matthijs in sijn leven gesworen maeckelaer, wonende tegenwordich inde Beulinghstraet alhier mij notaris bekent, sijnde sieckelijck in lichaem nochtans haer verstant, memorie ende uytspraeke volcomentlijck hebbende ..., de welcke verclarde bij leven ende sterven dat all het geene haer tegenwordich is toebehorende is bestaende in het naergenoemde ...  Postscript: Verclarde sij Comparante voor tegenwoordich geene andere off meerder goederen off penningen dan hier vooren sijn gespecificeert...",
441,535,Gemeentearchief Amsterdam,"2810, fil nr. 2873",Notarial,1665/04/15,Jansz.,Amsterdam,44,Nederland,,,,1662/07/21,K,and his wife Geertien Cornelis,"Jansz., Albert",H. Westfrisius,Services |a Water transportation,death inventory of goods owned in common,,In de eerste bejetsche dwarsstraet in Amsterdam,"The owner of the goods was skipper of a boat on inland waterways. Goosen Stam, one of the two men at whose request the inventory was drawn up, was a sculptor (steenhower), son of the sculptor Adam Goosen of R 22492 of Montias2.","Inventaris van de imboel ende huysraet van Sr. Albert Jansz. kaaghschipper , so hij de selve met sijn huysvrouw Geertien Cornelis in de eerste (b)ejetsche dwarstraet alhier gepossedeert heeft ende beseten heeft ende daernaer metter doodt ontruijmt , beschreven door mij Hendrick Westfrisius, notaris, ten versoecke ende overstaen van de naegenoemde assistenten ende in presentie van de naerbeschreven getuijgen.  Postscrit: Aldus gedaen ende geinventariseert ten huyse van de overleden gestaen als vooren, ten versoecke van Mitzen Ziewets ende Goussen Stom als assistenten vande voorn. Geertie Cornelis dat dit was den oprechten inventaris van alle haere meubelen [die sij met haeren man] hadde gepossideert.",
442,536,Gemeentearchief Amsterdam,"N.A. 2467, film  2572",Notarial,1668/08/30,Fris,Amsterdam,38,Nederland,,,1629 |d 1706/12/23,,,Goods transferred to Jan de Wael as collateral for loans.,"Fris, Pieter",Reynier Duee,,list of paintings deposited as collateral for various loans made by Jan de Wael to Pieter Fris.,,Amsterdam,"Pieter Frist was a painter and art dealer. In 1647, he was living in Dordrecht. On 7 August 1656, he was domiciled in the Bagijnstraet in Amsterdam when he made a deposition on behalf of a neighbor. He was said to be 28 in a deposition dated 7 March 1657. On 6 November of the same year, Pieter Frist, husband of Josyntge van der Hulst, named the merchant Pieter de Hooghe in Haarlem to collect some money for him in that city. On 7 October 1660, he became a member of the Guild of St. Luke in Haarlem (Bredius, Künstler-inventare, p. 63 of the Nachträge).  On 24 November 1663, he applied for debt relief (benefitie cessionis) from the High Court in The Hague. On 3 May 1666, the printmaker Romeijn de Hooghe. 21, declared at the request of Pieter Frist, painter, living in Haarlem, that 1 1/2 years previously, he had sold to the requirant (Fris) a clock made of enameled gold with a gold chain therein, against which he had received from the requirant four paintings. On 23 October 1667, Martina van der Hulst, wife of Pieter de Hooghe, passed her testament. She made a bequest of 1,000 f. to her sister Josina van der Hulst, wife of Pieter Frist, but she specified that her sister should not pay the debts of her husband with that sum. On 23 October 1668, Pieter Frist acknowledged at the request of Josijntge van der Hulst, that he had had a child with another woman but he promised to live with his wife in harmony henceforth. On 13 June 1669, Pieter Frist and Joosyntge van der Hulst were granted separation of bed and board. The wife would keep the household goods including silver and gold objects, the husband, all paintings and other goods that he had already taken with him. He apparently resumed relations with his wife with whom he made a joint testament on 24 June 1688. Pieter Frist was buried on 23 December 1703. Some time in 1708, Josina van der Hulst, blind, widow of Pieter Fris, artful painter, made a gift to an unmarried woman of furniture and other decorative objects, under the proviso that she could keep them until her own death (all the above information is taken from Bredius, Künstler-inventare pp. 1987-9). Jan Fris, one of whose paintings appears in the present inventory, was perhaps Pieter Fris's brother.  Jan de Wael must be the second of this name, the son of Jan de Wael I, an important merchant,  cited in R 7663, R 23606, and R 27594 of Montias2.","Op huijden den xxx Augusti 1668 Compareerde voor mij Reynier Duee S[igneu]r Pieter Fris schilder wonende alhier, ende bekende bij desen deughdelijck schuldigh te sijn aen d' eerbaere Jan de Wael mede wonende alhier eerstelijck de somme van 500 guldens metten interesse van dien tegens 4 guldens per cente in't jaer sedert 16 november 1666, item noch 600 guldens verstreeckt op 16 December 1666, noch 525 guldens vier stuivers verstreeckt 9e junij lestleden, noch 420 gulden 10 stuivers verstreeckt den xi e junij mede lestleden, alles volgen de obligatien aen mij notaris geexhibeert ofte verthoont, Verclaerde voorts hij Comparant te hebben ter handt gestelt aende gemelte h[ee]r de Wael als pant metter minne de schilderijen gespecificeert ende begrepen in het geschrift hier annex. [getekent: Pieter Fris in Amsterdam den 30 Augusti 1668]",
443,537,Gemeentearchief Amsterdam,"NA 36, film 50",Notarial,1607/07/03,Bouwer,Amsterdam,89,Nederland,837 |t gulden,,1565 |d c. 1607,1603,,,"Bouwer, Hans (I)",Jacob Gysbertsz.,Merchant (largescale),death inventory,,Amsterdam and Narden,"Hans Bouwer (I) was 20 years old on 19 November 1585 when his mother Neel Hillebrantsdr., widow of Arent Bouwer, declared that her sons were Jasper, 27, Balthasar, 25, and Hans, 20. They acquired a house on the Warmoesstraat on this date (J.G. Kam, Waar was dat huis in de Warmoesstraat?, 1968, p. 32/1). Helena Bouwer of R 27876 of Montias2 was his sister, as well as Maritge (of R 300 of Montias1).  Lysbeth Bouwer of R 594 of Montias1 may also have been his sister. On Hans Bouwer II, the son of Hendrick Bouwer, who went bankrupt in 1611, see the NOTES to R 28879 of Montias2.",[The first part is missing] Postscript: Op huijden den derden julij 1607 heeft Doctor Melchior Bouwer die boucken van z. Hans Bouwer aen hem gelegateert ontfangen ... Aldus geinventariseert ... ter presentie van mij notaris. ...,
444,538,Gemeentearchief Amsterdam,NA 36 film 50,Notarial,1607/06/22,Hendricxdr.,Amsterdam,13,Nederland,,,? |d 1578  |n Coesvelt; ?  |d  1608/01/12,,,widow of Gerrit Jansz. Coesvelt,"Hendricxdr., Maria",Jacob Gysbertsz.,Merchant (largescale) |a Grain,Perhaps in anticipation of the testator's death,Reformed,In het Coesvelt on the O.Z. Voorburgwal in Amsterdam,"Gerrit Jansz. Coesvelt was chosen a member of the Amsterdam Raed in 1578. He was a grain merchant living on the O.Z. Voorburgwal in het Coesvelt, next to de Pot. He married Marij Hendrick Pouwelszoonsdr., the daughter of Henrick Pouwelsz. and Stijn Allertsdr. Boelens. He was a church master (O.K.) in 1559 and 1578.  He was buried on 27 September 1578, she, on 12 January 1608 (Elias, Vroedschap, p. 25). Ellerdt Boelensz., who was one of the executors of Mary Hendricks's testament, was probably her grandfather.   For the sale of  Mary Hendricks's goods after her death, see INVNO 761 and the TEXT of R 934 of Montias1. Claes Reyniersz., another  executor of the testament of Mary Hendricks, was the indiviudal person who received the net proceeds of the sale of 18 April 1608. On 13 November 1619, Dirck Claesz. Schepel (probably of R 30126 of Montias2) and Jan Jansz. Coninck, as executors of the testament of Claes Reyniersz., declared that the children of Hendrick Boelisz., procureur, were entitled to a sum of 3,000 f. by legacy from Claes Reyniersz. and 1,200 f. from Claes Andriesz. (WK 5073/789).","Compareerde voor mij Maria Hendricxdr. weduwe wijlen Gerrit Jansz. Coesvelt porteresse deser stadt ende verclaerde hoe zij omme zeckere oorsacken ... haer tot sulcx moverende geresolveert was in presentie vande onderges. haer bloedt vrunden mitsgaders ten overstaen vand den E. Philips Cornelisz., Ellerdt Boelensz. ende Claes Reijniersz. als geordonneerde executeurs van haere testamente (die... bijden heeren weesmeesteren ... daertoe oock waren geauthoriseert blijckende bijde acte daervan zijnde in date 19 junij anno 1607) te doen maecken perfecte inventaris van allen den goederen die zij comparante tegenwoordich is besittende. Postscript: Actum ten Amsterdam ... ten huyse van de voors. Marie Hendricksdr. ... den xxii juni xvi C zeven ....",
445,539,Gemeentearchief Amsterdam,"NA 197, film 922",Notarial,1613/01/19,Bosmans,Amsterdam,103,Nederland,2358 |d  10 stuivers,9695 |d  18 stuivers,? |d 1612/11/24  |n Bosmans; 1539 |d 1612/11/27  |n Nicquet,,,widow of Jan Nicquet,"Bosmans, Margarietha",Jan F. Bruijningh,Retail merchant |a Book dealer,death inventory,,Amsterdam,"Jan Nicquet I was born in Antwerp in 1539. He was a rich merchant from Antwerp, first noted in Amsterdam on 19 December 1593, when, together with his wife Margrieta Bosmans (or Boschmans), he passed his testament (Maandblad Amstelodamum 66(1979), p. 3). He was engaged in trade with Venice and London (Bok, Art Lovers and Their Paintings in Dawn of the Golden Age, Exhib. Cat., Rijksmuseum, 1993-1994, p. 158). Their son Jean Nicquet II was also a merchant, at one time factor for merchants in Venice,   living on the corner of the Doelenstraet in den Ackerman. He married Constantia de Haze, the daughter of Hendrick de Haze and of Clara Coymans. After De Haze's death, she remarried with Albert Schuyt of R 28923. Jean Nicquet I's collection was singled out for praise by Karel van Mander, who mentioned a painting by Jacopo Bassano, a landscape by Gillis van Conincxloo with staffage by Marten van Cleef, a decapitation of Jacob by Jan Gossaert in grisaille, and a banquet of the gods by Joachim Wtewael, on copper, dated 1602. His portrait was engraved by Goltzius in 1595 (ibid). The daughter of Jean Nicquet I and Margaretha Bosman, named Margaretha Nicquet, married Gerrit Reynst I (before 1590). Reynst became governor general of the Netherlands East Indies in 1613 and died in Jakarta in 1615.  After the death of Jean Nicquet II, Constantia de Haze (Haes) remarried with Albert Schuyt (of R on 8 November 1606 (Elias, Vroedschap van Amsterdam, p. 1017). Anna Schuyt, the daughter of Elbert Schuyt's first marriage with Anna Bernard, married Gerrit Reynst II, the son of Gerrit Reynst I. The couple was linked by marriage to Bartholomeus Moor and to many other prominent families. Note that Margaret Bosman continued to operate her husband's business affairs after his death (Gelderblom, Zuid-Nederlandse kooplieden, p. 309). Baerent Jansz., who appraised some of the goods, was probably the porcelain dealer of that name, sometimes called Barent Jansz. Porceleijn.","Staet ende inventaris vande naegelaten goederen ende meublen bevonden inden sterffhuijse van wijlen Juffr[ouw] Margarietha Bosmans sal. ged. weduwe wijlen Jan Nicquet bij haer metter doot ontruijmt ende naegelaten, getaxeert ende gepriseert bij de persoonen naegenoemt . Dese naervolgende goederen sijn getaxeert bij Maritge Andries ende Barbara Jacobs gesworen wtdraechsters met assistentie van Baerent Jansz. die hem op soodaenige waeren als daermede handelaer seer wel verstaet.  Postscript:  Aldus getaxeert, geinventariseert ende beschreven ter requisitie ende versoecke vande kinderen ende erffgenamen van wijlen Juffr. Margarietha Bosmans weduwe wijlen Jan Nicquet, ten overstaen van eenige vande voors. erffgenamen opten xiiiie , xve, ende xixe Decembris xvi C twaelff mitsgaders opten achtsten ende xix januarij xvi C ende derthien ter presentie van Jeuriaen Corvin clercq van van (sic) mij Jan Fransz. Bruijningh openbaer notaris tot Amstelredamme residerende, .... , als getuijge hierover gestaen, sijnde alles int Register van mij notaris voorn. pertinentlijck geregistreert, omme ten behoeve vanden genen daeraen gelegen sijnde te maecken ende te leveren Acte in forma.",Jan Bassee and Cornelis van der Voorde
446,540,Gemeentearchief Amsterdam,645 film nr. 4954,Notarial,1616/10/08,Grootenhuys,Amsterdam,38,Nederland,848 |d  14 stuivers,7294 |d  5 stuivers,1570 |d  1615/02/09,1590/09/22,K,,"Grootenhuys, Arent ten",Sybrant Cornelisz.,Merchant (largescale),death inventory,,In de Warmoestraet in Amsterdam,"Arent ten Grootenhuys, Heer van den Bosch, was born in 1570 and was buried on 9 February 1615. He was a merchant in the Warmoesstraet in den witten Eenhoorn. He was one of the founders of the V.O.C. and  a director of the company in 1602. He invested 12,000 f. in the first subscription for V.O.C. shares (Van Dillen, Het oudste aandeelhoudersregister, p. 117).  He was one of the 17 prominent merchants who tried to found a company in 1608 to exploit Northern (White Sea) territories. At his death, he left a fortune of 256,500 f. He was betrothed in Amsterdam on 22 September 1590 with Maria Willemsdr. van Heemskerck, daughter of Jan Reyersz. and of Margriet Engbrechts Ramp. He bought several separate lots in the Haarlem lottery of 1606 (GAA, 30/12 and 30/13 F238 etc.) His daughter Brechtgen, living in his house, bought lots for 1 f. 16 st., as did his other daughters Margriet and Rebecca.  His daughter Trijn or Catherijna married Jan Fransz. Pompemacker, alias Jan Hendricksz. Oetgens on 30 September 1590. Another daughter named Anna married Jan Jansz. Carel de jonge (cited in the INTRO above, the son of Jan Jansz. Carel de oude of R 28890) on 18 December 1590. From the INTRO, it emerges that his daughter Margriete was married to Abraham Gonaert van de Graeff. When she married after the death of her father, Caspar Coymans (I) (of R 31693),  her guardian, was reprimanded by the Kerckeraad for allowing dancing at her wedding (see R 31693). Arent was the brother of Jan ten Grootenhuys I (1573-1643), merchant in the Bethaniestraat and alderman in 1602.  Arent's  nephew Jan Jansz. ten Grootenhuys was captain of the Burgerij in 1616, curator of the Illustre School at its founding in 1632. He was taxed on the basis of an assessment of 100,000 f. in 1631. He married Anna de l'Hommel in 1605, Anna de Vogelaer, daughter of Marcus de Vogelaer (R 23422 of Montias2) in 1613, and Geertruyd van Dronckelaer in 1615 (Elias, Vroedschap, pp[. 103, 276-8).","Inventaris van de meubelen, huysraet, schilderijen, silver ende vergult werck bevonden int sterffhuys van wijlen Arent ten Grootenhuys ...ende van Barbara Jacobs ende Reymerich Thyssen gesworen uijtdraegsters mitsgaders een schilder ende goutsmit ... volgende hare verclaringe getauxeert ende gepriseert, syn ten prysen gelijck hiernaer volcht ende gestelt is. Postscript: Aldus geinventariseert ende beschreven ter requisitie ende versoeck van Abraham Gonaert van de Graeff als man ende voogt van Margrieta ten Grootenhuys ende Brechgen ten Grootenhuys mitsgaders ten overstaen ende int bijwesen vande Eerbare Catharina ten Grootenhuys weduwe van wijlen Jan Hendricksz. Oetgen ende seigneur Jan Jansz. Carel d'jonge respective oom ende moeye van Brechgen ten Grootenhuys als van Jan ende Willem ten Grootenhuys alle kinderen ende erffgenamen van de voors. Arent ten Grootenhuys bij miijn Sybrant Cornelisz. openbaer Notaris ... Actum ... den vierden vyffden sesten sevenden achten Octobris anno 1616.","Barbara Jacobs, Reynierich Thyssen, and Cornelis van de Voorde (Voort), painter"
447,541,Gemeentearchief Amsterdam,"199, film nr. 111",Notarial,1620/02/15,Surck,Amsterdam,88,Nederland,,,1576 |d 1619/02/16,1617/10/07,Pui,,"Surck Jaspersz., Antonio van",J. F. Bruijningh,,death inventory,,Amsterdam,"The merchant Antonio Jaspersz.  van Surck was born in 1576-77 in Antwerp (Gelderblom, Zuid-Nederlandse kooplieden, p. 315). He was the son of Jaspar van Surck or Zuerck, who was the brother of Anna van Zuerck, whose death inventory was taken in Antwerp on 23 February 1613. At that time his grandfather, Joost van Zuerck I, was still alive (Duverger,Antwerpse inventarissen 1(1984), pp. 286-7). Antonio Jaspersz. was buried on 16 February 1619. He was the brother of Susanna van Surck (Zurich) of INVNO 1141, who was married to Aernout Hellemans.   He was married, first, to Maria Thibaut, daughter of Hendrick Thibaut I  and Margriet van Nispen (II) (see below). After the death of Maria Thibaut, he was betrothed to Jacqueline Boudewijns from Berlecum on 7 October 1617. Jacqueline Boudewijns survived him (see above INTRO).  Hendrick Thibaut I, born in Ieper (Ypres), merchant, spent some time in Middelburg and was noted in Amsterdam from 1612  on. He married Margaretha van Nispen (II), born in Dordrecht, before 1570 (Gelderblom, loc. cit. and Nederlandsche Leeuw 100(1983), col. 243). Margriet van Nispen II may have been a daughter of Margriet van Nispen I (c.1545-1598), married to Gillis Hooftman (1521-1581) (see Wijnroks, Handel tussen Rusland en de Nederlanden 1560-1640, p. 182, where the portrait of the couple by Marten de Vos is reproduced). The daughter of Gillis Hooftman, named Johanna Hooftman, married Antonio Ancelmo (Anselmo) (1536-1611), the ancestor of several distinguised Amsterdam citizens. Gillis Hooftman and his son-in-law Antonio Anselmo together  freighted a ship to the White Sea in 1577. Both were active in trade with Russia  (Wijnroks, op. cit. p.167)    Margriet van Nispen was the cousin of Anna van Nispen, the wife of Adriaen Andriessen I (cited in the NOTES to  R 29301 of Montias2).  Maria Thibaut was the sister of the fencing master Gerard Thibaut, who, while he was in Spain, gave Antonio van Surck a procuration to act on his behalf between 1605 and 1610 (Jaarboek Amstelodamum 69(1977), p. 28). In 1608, he joined a number of Amsterdam merchants in a petition to the burgomasters of Amsterdam requesting the revocation of a prohibition on the use of cashiers to effect money transfers (Van Dillen, Wisselbanken, R.P.G., 59(1925), p. 16). Adriaen Thibault (also cited in the postscript) was the younger brother of Gerard Thibault. He was married to Susanna van Hove. On 24 March 1620, Adriaen Thybaut informed the masters of the Orphan Chamber that the late Anthony van Surck Jaspersz. and his wife Maria Thibaut had named him and Johannes de Laet Jansz. of Leyden as guardians over their children in their testament (WK 5073/789). Hendrick Thibault II, cited in the INTRO, married Maria Sickenga on 17 February 1620 (Nederlandsche Leeuw 95(1978), col. 407).  On 3 March 1621, Adriaen Tybaut, as uncle and guardian of the four children left by Anthony Jaspersz. van Zurck, merchant, namely, Anthoni, 14, Jasper, 10, Ferdinandus, 7, and Eduart, 5, whose mother was Maria Tybaut, brought to the Orphan Chamber an obligation of the VOC for 3,600 f. On 7 August 1629, Anthoni van Breen in the name of the widow of Anthony Tybaut (Jacqueline Boudewijns) brought in 9,125 f. 14 st. to the Orphan Chamber  (WK 5073/789). On Anthoni van Breen, see the NOTES to R 20074 of Montias2.  On 7 February 1630, Jacqueline Boudewijns, widow of Anthony Jaspersz. van Zurich, living on the Keysersgracht, was betrothed to Abraham du Bois, 39 (DTB 424/142).   On 23 October 1635, the son of Antonio van Surck, also named Antonio (born in 1606), married Suzanna Thibaut (born in 1614), the daughter of Adriaen Thibault, his first cousin, and of Susanna van Hove.  Two letters from Anthonie van Surck II to Constantijn Huygens, dated 17 August 1637 and 14 August 1640, testify to his friendship with the philosopher Rene Descartes (J.A. Worp, Briefwisseling van Constantijn Huygens, p. 274). A son named Emanuel van Surck was either from his first marriage with Maria Thibaut, in which case he was already of major age in 1621, or  from his second marriage with Jacqueline Boudewijns (since all four children of minor age  from his first wife Maria Thibaut are listed above) (see the TEXT to R 221 for a deposition of 2 September 1636).","Inventaris van de meublen ende goederen bevonden int sterffhuys van wijlen Ant[oni]o van Surck Jaspersz. ... Postscript: Aldus geinventariseert ende beschreven ten versoecke van d' eerbare Jaquelina Boudewijns weduwe van Anthony van Surck Jaspersz. sal. gedachten ten overstaen ende met kennisse van d'eerbare Juffrouwen Susanna van Surck weduwe van wijlen Aernout Hellemans suster van de voorn. Sr. Anthonij van Surck, Margrieta Thibaut huijsvrouwe van S[eigneu]r Guillielmo Bartolotti, Maria Sickenga huysvrouwe van S[eigneu]r Hendrick Thibaut ende Susanna van Hove, huysvrouw van S[eigneu]r Adriaen Thibaut, schoonsusters van den voorn. van Surck, Bij mij Jan Fransz. Bruijningh ... ter presentie van Daniel Otten ende Leonaert Houtman getuijgen hiertoe versocht. Actum desen veertien ende vijffthiende Februarij xvi C ende twentich.",
448,542,Gemeentearchief Amsterdam,"645, film 4954",Notarial,1616/08/20,Cobbaut,Amsterdam,18,Nederland,,,,1610/04/22,K,,"Cobbaut, Aernout, de jonge (III)",Sybrand Cornelisz.,,death inventory,Reformed,Op de Breedestraet in Amsterdam,"On 22 April 1610, Arnout Cobbaut de jonge  (III), assisted by his parents Arnout Cobbaut (II) and Anna van Valckenburg, was betrothed to Anna Kruijpenninck, when she was 19 years old  (DTB 414/285). His father,  Arnout Cobbaut II, born in Oudenaarde, not far from Antwerp, circa 1555, is said to have died in Amsterdam on 2 October 1633 (Nederlandsche Leeuw 52(1944), col. 51.) Arnout Cobbaut II  lived in the Nieuwe Hooghstraat in 1612 (R 21250 of Montias2), at the time of his daughter Sara's betrothal to Balthasar de Visscher in 1626, and at the time of his death in 1633 (see INVNO 2011). In 1616, shortly after the present inventory was drawn up, Pieter Cruijpenning, bachelor, 20 years old (thus born in 1596), passed his testament. He  declared that he was the heir of Arnout Cobbaut de jonge, the son of his sister Anna (NA 182, fol. 113-115vo, Not. J. Bruyningh). This strongly indicates that the owner of the goods in the present inventory was Arnout Cobbaut III. This is also supported by the fact that Arnout Cobbaut de jonge of this inventory lived and died in the Bredestraat and not in the Nieuwe Hoogestraet as his father did. It may be conjectured that Arnout Cobbaut I, the father of Arnout Cobbaut II, died before 1610. This would account for the fact that Arnout Cobbaut II was called de jonge  in the years 1610 to 1612. Thus the individual named Arnout Cobbaut de jonge who sold lots  in the drying up and diking of the Beemster polder in 1612 was probably, but by no means certainly, Arnout Cobbaut II  ((NA 128, Not. F. Bruyning, Extracten). In any case, it is evident that the buyer of the lot in the Rauwart sale of 1612 of R 21250, named Arnout Cabaut de jonge, who  was said to be living in the Nieuwe Hoochstraet, must have been Arnout Cobbaut II, the father of the owner of the goods in the present inventory.  In addition to Sara, the siblings of Arnout Cobbaut III were: Elisabeth, betrothed to Pieter de Schilder (cited in the INTRO above and in the NOTES to  R 27188) on 27 April 1607 when she was 19 years old; Barbara, betrothed to Balthasar van der Veecke (of INVNO 677)  on 30 January 1616,  and, after his death, with Toussain Blanche (or de Blancke) (of INVNO 1191); Judith, betrothed  to the sugar refiner Hans de l'Hommel on 2 March 1617  (of INVNO 230);  Susanna, married to Pieter Stas; Anna, married to Michiel van Verbeecke and, after his death, with Gillis Smissaert (of R 30704) on 26 August 1616; and Gillis, innocent (retarded) (ibid.) Andries Ryckaert I (1569-1639),  cited in the INTRO, was a merchant and kruidenier, born in Oudenaarde in Flanders who was first noted in Amsterdam in 1596 (Gelderblom, Zuid-Nederlandse kooplieden, p. 312 and Jaarboek Amstelodamum 80(1988), p. 43). He was married to Susanna Mercijs (1582-1633) who was the cousin of Pieter Mercijs of INVNO 578.  He was a wealthy man, paying a tax of 700 f. in 1631 (Kohier, fol. 11, p. 4).  He may not have been related to the Cobbaut family by blood or marriage but as the business partner of Pieter de Schilder, who was married to Elisabeth Cobbaut. For more bio information on Arnout Cobbaut II and III,  see R 21250 of Montias2.","Inventaris van de goederen, meublen, ende huysraet bevonden in 't sterffhuys van wijlen Aernout Cobbaut de jonge oveleden binnen desen stede op de Breedestraet. Postscript: Aldus geinventariseert ende beschreven ten overstaen ende door versoeck van de eersamen Andreas Ryckaert ende Pieter de Schilder by my Sybrant Cornelisz. notaris .... in Amsterdam den xxen Augusti anno 1616.",
